dataset_id,speaker,language,type,reference_text,audio_file,whisper_transcription,normalized_text,expected_intent,expected_schemes,detected_intent,extracted_entities,retrieved_schemes,recommended_schemes,wer,cer,transcription_correctness,normalization_correctness,intent_correctness,retrieval_hit_at_1,retrieval_hit_at_3,retrieval_hit_at_5,recommendation_correctness,failure_stage,error_whisper,error_normalization,error_retrieval,error_recommendation
1,M02,ta,tamil,எனக்கு விவசாயத்துக்கு ஏதாவது அரசு திட்டம் இருக்கா?,data/voice_dataset/audio/WhatsApp Audio 2026-09-05 at 10.54.26 AM.wav,எனக்கு விவசாயத்துக்கு ஏதாவது அரசித்து திட்டம் இருக்கார்,I need a government scheme related to agriculture/farmers,scheme_search,[],scheme_search,"{""occupation"": ""farmer""}","[""PM KISAN Operational Guidelines"", ""PM RKVY and PKVY Guidelines"", ""PMFBY Scheme Document"", ""Unified Package Insurance Scheme Guidelines"", ""SMAM Operational Guidelines 2025""]","[""PM RKVY and PKVY Guidelines"", ""e NAM National Agriculture Market 3"", ""Unified Package Insurance Scheme Guidelines"", ""PM KISAN Operational Guidelines"", ""PMFBY Scheme Document""]",33.33,13.33,fail,pass,pass,0,0,0,pass,,,,,
2,M02,ta-en,tanglish,Enakku farmer scheme edhavadhu irukka?,data/voice_dataset/audio/WhatsApp Audio 2026-09-05 at 10.54.27 AM.wav,எனக்குப் பார்மர்ஸ்க்கிம் ஏதாவது இருக்காது.,I need government scheme related to Parmar's,scheme_search,[],scheme_search,"{""occupation"": ""farmer""}","[""PM KISAN Operational Guidelines"", ""PM RKVY and PKVY Guidelines"", ""PMFBY Scheme Document"", ""Unified Package Insurance Scheme Guidelines"", ""SMAM Operational Guidelines 2025""]","[""PM RKVY and PKVY Guidelines"", ""PM KISAN Operational Guidelines"", ""PMFBY Scheme Document""]",100.0,114.71,fail,pass,pass,0,0,0,pass,,,,,
3,M02,ta,tamil,விவசாயிகளுக்கு என்ன அரசு திட்டங்கள் இருக்கிறது?,data/voice_dataset/audio/WhatsApp Audio 2026-09-05 at 10.54.25 AM (1).wav,எனக்கு விவசாயத்துக்கு ஏதாவது அரசித்து திட்டம் இருக்கா?,I need a government scheme related to agriculture/farmers,scheme_search,[],scheme_search,"{""occupation"": ""farmer""}","[""PM KISAN Operational Guidelines"", ""PM RKVY and PKVY Guidelines"", ""PMFBY Scheme Document"", ""Unified Package Insurance Scheme Guidelines"", ""SMAM Operational Guidelines 2025""]","[""PM RKVY and PKVY Guidelines"", ""e NAM National Agriculture Market 3"", ""Unified Package Insurance Scheme Guidelines"", ""PM KISAN Operational Guidelines"", ""PMFBY Scheme Document""]",120.0,62.79,fail,pass,pass,0,0,0,pass,,,,,
4,M02,en,english,Am I eligible for any government scheme?,data/voice_dataset/audio/WhatsApp Audio 2026-09-05 at 10.54.27 AM (1).wav,Am I eligible for any government scheme?,I need to know if I am eligible for any government scheme,scheme_eligibility,[],scheme_eligibility,"{""occupation"": ""farmer""}","[""PM KISAN Operational Guidelines"", ""PM RKVY and PKVY Guidelines"", ""Unified Package Insurance Scheme Guidelines"", ""PMFBY Scheme Document"", ""SMAM Operational Guidelines 2025""]","[""PM RKVY and PKVY Guidelines"", ""Unified Package Insurance Scheme Guidelines"", ""PM KISAN Operational Guidelines"", ""PMFBY Scheme Document""]",0.0,0.0,pass,pass,pass,0,0,0,pass,,,,,
5,M02,ta-en,mixed,PM Kisan schemeக்கு நான் eligibleஆ?,data/voice_dataset/audio/WhatsApp Audio 2026-09-05 at 10.54.26 AM (1).wav,பியம் கிஷான் சகிம் நான் வில்ஜுகலா,I need a government scheme related to farmers,scheme_eligibility,"[""PM Kisan""]",scheme_search,"{""occupation"": ""farmer""}","[""PM KISAN Operational Guidelines"", ""PM RKVY and PKVY Guidelines"", ""PMFBY Scheme Document"", ""Unified Package Insurance Scheme Guidelines"", ""SMAM Operational Guidelines 2025""]","[""PM RKVY and PKVY Guidelines"", ""PM KISAN Operational Guidelines"", ""SMAM Operational Guidelines 2025"", ""PMFBY Scheme Document""]",80.0,83.87,fail,pass,fail,1,1,1,pass,,,,,
6,M02,ta-en,tanglish,Farmers-ku enna government schemes irukku?,data/voice_dataset/audio/WhatsApp Audio 2026-09-05 at 10.54.25 AM.wav,பார்மத்துக்கு என்ன காவர்மன்ஸ்க்கின் இருக்கு?,I need government schemes for farmers,scheme_search,[],scheme_search,"{""occupation"": ""farmer""}","[""PM KISAN Operational Guidelines"", ""PM RKVY and PKVY Guidelines"", ""PMFBY Scheme Document"", ""SMAM Operational Guidelines 2025"", ""Unified Package Insurance Scheme Guidelines""]","[""PM RKVY and PKVY Guidelines"", ""PM KISAN Operational Guidelines"", ""PMFBY Scheme Document""]",100.0,105.26,fail,pass,pass,0,0,0,pass,,,,,
7,M02,ta,tamil,இந்த திட்டத்திற்கு என்னென்ன ஆவணங்கள் தேவை?,data/voice_dataset/audio/WhatsApp Audio 2026-09-05 at 10.54.25 AM (2).wav,இந்த திட்டத்திற்கு என்ன நான் அவனங்கள் தேவை,I need this scheme for them,scheme_search,[],scheme_eligibility,"{""occupation"": ""farmer""}","[""PM KISAN Operational Guidelines"", ""PM RKVY and PKVY Guidelines"", ""Unified Package Insurance Scheme Guidelines"", ""PMFBY Scheme Document"", ""SMAM Operational Guidelines 2025""]","[""PM RKVY and PKVY Guidelines"", ""Unified Package Insurance Scheme Guidelines"", ""PM KISAN Operational Guidelines"", ""SMAM Operational Guidelines 2025"", ""PMFBY Scheme Document""]",80.0,15.79,fail,pass,fail,0,0,0,pass,,,,,
8,M02,ta-en,tanglish,Indha scheme-ku enna documents venum?,data/voice_dataset/audio/WhatsApp Audio 2026-09-05 at 10.54.26 AM (2).wav,இந்த ஸ்கீமுக்கு என்ன டாக்மான் வேண்டும்,I need a government scheme related to this,document_requirement,[],scheme_eligibility,"{""scheme_name"": ""this""}","[""PMAY G Guidelines"", ""PMFME Scheme Guidelines"", ""PM RKVY and PKVY Guidelines"", ""PMFBY Scheme Document"", ""PM KISAN Operational Guidelines""]","[""PM RKVY and PKVY Guidelines"", ""PM KISAN Operational Guidelines"", ""PMFBY Scheme Document""]",100.0,103.03,fail,pass,fail,0,0,0,pass,,,,,
9,M02,ta-en,mixed,Government schemeக்கு online-ல எப்படி apply பண்ணுவது?,data/voice_dataset/audio/WhatsApp Audio 2026-09-05 at 10.54.28 AM.wav,காவர்மன்ட் ச்கீமுக்கு அன்லனில் எப்படி அப்படிப் பண்ணுவது,I need to find out when to apply for the Karmam Samcheme,application_status,[],scheme_search,"{""occupation"": ""farmer""}","[""PM KISAN Operational Guidelines"", ""PM RKVY and PKVY Guidelines"", ""Unified Package Insurance Scheme Guidelines"", ""PMFBY Scheme Document"", ""SMAM Operational Guidelines 2025""]","[""PM RKVY and PKVY Guidelines"", ""e NAM National Agriculture Market 3"", ""Unified Package Insurance Scheme Guidelines"", ""PM KISAN Operational Guidelines"", ""PMFBY Scheme Document""]",83.33,68.75,fail,pass,fail,0,0,0,pass,,,,,
10,M02,ta,tamil,விவசாயிகளுக்கு பண உதவி வழங்கும் திட்டங்கள் என்ன?,data/voice_dataset/audio/WhatsApp Audio 2026-09-05 at 10.54.25 AM (3).wav,விவுசாய்களுக்கு பணமுதிவு வளங்கம் திட்டங்கள் என்னன்,government schemes for farmers,scheme_search,[],scheme_search,"{""occupation"": ""farmer""}","[""PM KISAN Operational Guidelines"", ""PM RKVY and PKVY Guidelines"", ""PMFBY Scheme Document"", ""Unified Package Insurance Scheme Guidelines"", ""SMAM Operational Guidelines 2025""]","[""PM RKVY and PKVY Guidelines"", ""Unified Package Insurance Scheme Guidelines"", ""PM KISAN Operational Guidelines"", ""PMFBY Scheme Document""]",83.33,23.26,fail,pass,pass,0,0,0,pass,,,,,
11,M03,ta-en,tanglish,Enakku farmer scheme edhavadhu irukka?,data/voice_dataset/audio/WhatsApp Audio 2026-09-05 at 10.54.27 AM.wav,எனக்குப் பார்மர்ஸ்க்கிம் ஏதாவது இருக்காது.,I need government scheme related to Parmar's,scheme_search,[],scheme_search,"{""occupation"": ""farmer""}","[""PM KISAN Operational Guidelines"", ""PM RKVY and PKVY Guidelines"", ""PMFBY Scheme Document"", ""Unified Package Insurance Scheme Guidelines"", ""SMAM Operational Guidelines 2025""]","[""PM RKVY and PKVY Guidelines"", ""PM KISAN Operational Guidelines"", ""PMFBY Scheme Document""]",100.0,114.71,fail,pass,pass,0,0,0,pass,,,,,
12,M03,ta,tamil,எனக்கு கிடைக்கக்கூடிய அரசு திட்டங்கள் பற்றி சொல்லுங்க.,data/voice_dataset/audio/WhatsApp-Audio-2026-09-05-at-11.14.30-AM.wav,எனக்கிடக்குக்கூட ரசத்துட்ட டெங்கல் கொட்டிச் சொல்லுங்க,I need government scheme for additional income,scheme_search,[],scheme_search,"{""occupation"": ""farmer"", ""income_status"": ""low""}","[""PM KISAN Operational Guidelines"", ""PM RKVY and PKVY Guidelines"", ""PMFBY Scheme Document"", ""PM Vishwakarma Yojana"", ""SMAM Operational Guidelines 2025""]","[""PM RKVY and PKVY Guidelines"", ""PM KISAN Operational Guidelines"", ""SMAM Operational Guidelines 2025"", ""PMFBY Scheme Document""]",100.0,40.82,fail,pass,pass,0,0,0,pass,,,,,
13,M03,ta-en,mixed,எனக்கு agricultureக்கு ஏதாவது government scheme இருக்கா?,data/voice_dataset/audio/WhatsApp-Audio-2026-09-05-at-11.14.33-AM.wav,எனக்கு அக்ரிக்ரல்ச்சருக்கு ஏதாவது தொருமணம் ச்கீம் இருக்கா,I need a matchmaking scheme for farmers,scheme_search,[],scheme_search,"{""occupation"": ""farmer""}","[""PM KISAN Operational Guidelines"", ""PM RKVY and PKVY Guidelines"", ""SMAM Operational Guidelines 2025"", ""PMFBY Scheme Document"", ""Unified Package Insurance Scheme Guidelines""]","[""PM RKVY and PKVY Guidelines"", ""PM KISAN Operational Guidelines"", ""SMAM Operational Guidelines 2025"", ""PMFBY Scheme Document""]",66.67,62.75,fail,pass,pass,0,0,0,pass,,,,,
14,M03,en,english,What documents do I need to apply for this scheme?,data/voice_dataset/audio/WhatsApp-Audio-2026-09-05-at-11.14.31-AM.wav,What documents do I need to apply for this thing?,documents needed to apply for this,document_requirement,[],document_requirement,{},"[""PM KISAN Operational Guidelines"", ""PM RKVY and PKVY Guidelines"", ""PMFBY Scheme Document"", ""SMAM Operational Guidelines 2025"", ""Unified Package Insurance Scheme Guidelines""]","[""PM RKVY and PKVY Guidelines"", ""PM Vishwakarma Yojana"", ""Pradhan Mantri Matru Vandana Yojana PMMVY"", ""PM KISAN Operational Guidelines"", ""PMFBY Scheme Document""]",10.0,12.2,pass,fail,pass,0,0,0,pass,,,,,
15,M03,ta-en,tanglish,Naan PM Kisan-ku eligible ah?,data/voice_dataset/audio/WhatsApp-Audio-2026-09-05-at-11.14.30-AM-_1_.wav,நான் பியன் கிசாந்துக்கு எழுந்து விலா,I am qualified for the government scheme for musicians,scheme_eligibility,"[""PM Kisan""]",unknown,"{""scheme_name"": ""PM Kisan""}","[""PM KISAN Operational Guidelines"", ""PM RKVY and PKVY Guidelines"", ""PM Vishwakarma Yojana"", ""SMAM Operational Guidelines 2025"", ""PMAY G Guidelines""]",[],100.0,128.0,fail,pass,fail,1,1,1,fail,,,,,
16,M03,ta,tamil,அரசு திட்டத்திற்கு எப்படி விண்ணப்பிப்பது?,data/voice_dataset/audio/WhatsApp-Audio-2026-09-05-at-11.14.32-AM.wav,அரசத்து திட்டத் திருப்பு எப்படி விண்ணப்புப் போகும்,government scheme availability,application_status,[],scheme_search,{},"[""PM KISAN Operational Guidelines"", ""PM RKVY and PKVY Guidelines"", ""SMAM Operational Guidelines 2025"", ""PMFBY Scheme Document"", ""Unified Package Insurance Scheme Guidelines""]","[""PM RKVY and PKVY Guidelines"", ""Pradhan Mantri Awas Yojana Urban PMAY U 2"", ""PM KISAN Operational Guidelines"", ""SMAM Operational Guidelines 2025"", ""PMFBY Scheme Document""]",125.0,31.58,fail,pass,fail,0,0,0,pass,,,,,
